category,tone_no,tone_name
E.Bass,225,FretlessBs 3
E.Bass,226,Slap Bass 1
E.Bass,227,Slap Bass 2
Synth Bass,228,MG Bass 1
Synth Bass,229,MG Bass 2
Synth Bass,230,MG Bass 3
Synth Bass,231,Modular Bs 1
Synth Bass,232,Modular Bs 2
Synth Bass,233,PWM Bass 1
Synth Bass,234,PWM Bass 2
Synth Bass,235,Big Mini
Synth Bass,236,Fat Analog
Synth Bass,237,Spike Bass
Synth Bass,238,SH Bass
Synth Bass,239,Intrusive Bs
Synth Bass,240,Synth Bass 1
Synth Bass,241,Synth Bass 2
Synth Bass,242,Synth Bass 3
Synth Bass,243,Synth Bass 4
Synth Bass,244,Synth Bass 5
Synth Bass,245,Synth Bass 6
Synth Bass,246,Synth Bass 7
Synth Bass,247,Synth Bass 8
Synth Bass,248,Synth Bass 9
Synth Bass,249,Synth Bass10
Synth Bass,250,Synth Bass11
Synth Bass,251,Synth Bass12
Synth Bass,252,Reso Bass 1
Synth Bass,253,Reso Bass 2
Synth Bass,254,Reso Bass 3
Synth Bass,255,Reso Bass 4
Synth Bass,256,Reso Bass 5
Synth Bass,257,Reso Bass 6
Synth Bass,258,Reso Bass 7
Synth Bass,259,Reso Bass 8
Synth Bass,260,Acid Bass 1
Synth Bass,261,Acid Bass 2
Synth Bass,262,Acid Bass 3
Synth Bass,263,Alpha Bass 1
Synth Bass,264,TB Bass 1
Synth Bass,265,TB Bass 2
Synth Bass,266,Alpha Bass 2
Synth Bass,267,Alpha ResoBs
Synth Bass,268,Nu Saw Bass
Synth Bass,269,Nu RnB SawBs
Synth Bass,270,Storm Bass
Synth Bass,271,Detune Bass
Synth Bass,272,Gashed Bass
Synth Bass,273,Hi-Energy Bs
Synth Bass,274,Pedal Bass 1
Synth Bass,275,Monster Bass
Synth Bass,276,JunoSqr Bs 1
Synth Bass,277,JunoSqr Bs 2
Synth Bass,278,101 Bass
Synth Bass,279,106 Bass 1
Synth Bass,280,106 Bass 2
Synth Bass,281,Compu Bass 1
Synth Bass,282,Compu Bass 2
Synth Bass,283,Triangle Bs
Synth Bass,284,Muffled Bass
Synth Bass,285,Garage Bass
Synth Bass,286,TransistorBs
Synth Bass,287,Fazee Bass
Synth Bass,288,TB Bass 3
Synth Bass,289,TB Bass 4
Synth Bass,290,Acid Bass 4
Synth Bass,291,Acid Bass 5
Synth Bass,292,Acid Bass 6
Synth Bass,293,Brite Bass
Synth Bass,294,Pedal Bass 2
Synth Bass,295,Saw Bass
Synth Bass,296,Reso Bass 9
Synth Bass,297,Reso Bass 10
Synth Bass,298,Sub Bass
Synth Bass,299,Ramp Bass
Synth Bass,300,Fat Bass 1
Synth Bass,301,Fat Bass 2
Synth Bass,302,Fat Bass 3
Synth Bass,303,Flat Bass
Synth Bass,304,Electro Rubb
Synth Bass,305,80s Bass
Synth Bass,306,Synth Bass13
Synth Bass,307,SynthBass101
Synth Bass,308,Acid Bass 7
Synth Bass,309,Clav Bass
Synth Bass,310,Hammer Bass
Synth Bass,311,Synth Bass14
Synth Bass,312,SynSlap Bass
Synth Bass,313,Rubber Bass
Synth Bass,314,Attack Pulse
Plucked/Stroke,315,Santur 1
Plucked/Stroke,316,Santur 2
Plucked/Stroke,317,Aerial Harp
Plucked/Stroke,318,LostParadise
Plucked/Stroke,319,Sitar 1
Plucked/Stroke,320,Indian Frtls
Plucked/Stroke,321,Sitar Pad
Plucked/Stroke,322,Santur 3
Plucked/Stroke,323,Mandolin
Plucked/Stroke,324,Harp
Plucked/Stroke,325,Yang Qin
Plucked/Stroke,326,Sitar 2
Plucked/Stroke,327,Sitar 3
Plucked/Stroke,328,Banjo
Plucked/Stroke,329,Shamisen
Plucked/Stroke,330,Koto
Plucked/Stroke,331,Taisho Koto
Plucked/Stroke,332,Kalimba
Solo Strings,333,Violin 1
Solo Strings,334,Bright Vln
Solo Strings,335,Bright Vc
Solo Strings,336,Violin 2
Solo Strings,337,Slow Violin
Solo Strings,338,Viola
Solo Strings,339,Cello
Solo Strings,340,Contrabass
Solo Strings,341,Fiddle
Ensemble Strings,342,Mood Strings
Ensemble Strings,343,Strings 1
Ensemble Strings,344,Strings 2
Ensemble Strings,345,Strings 3
Ensemble Strings,346,Strings 4
Ensemble Strings,347,Stage Str 1
Ensemble Strings,348,Stage Str 2
Ensemble Strings,349,Pop Str
Ensemble Strings,350,Marc.Str
Ensemble Strings,351,StringsStacc
Ensemble Strings,352,Pizz 1
Ensemble Strings,353,Pizz 2
Ensemble Strings,354,TapeStrings1
Ensemble Strings,355,TapeStrings2
Ensemble Strings,356,Hybrid Str
Ensemble Strings,357,Strings 5
Ensemble Strings,358,Hall Strings
Ensemble Strings,359,Tremolo Str
Ensemble Strings,360,PizzicatoStr
Ensemble Strings,361,Strings 6
Ensemble Strings,362,Oct Strings
Ensemble Strings,363,Slow Strings
Orchestral,364,Orc.Unison 1
Orchestral,365,Orc.Unison 2
Orchestral,366,Full Orc
Orchestral,367,Orchestra
Solo Brass,368,Trumpet 1
Solo Brass,369,Fr.Horn
Solo Brass,370,Trumpet 2
Solo Brass,371,Dark Trumpet
Solo Brass,372,Trombone 1
Solo Brass,373,Trombone 2
Solo Brass,374,Bright Tb
Solo Brass,375,Tuba
Solo Brass,376,MuteTrumpet1
Solo Brass,377,MuteTrumpet2
Solo Brass,378,French Horn
Ensemble Brass,379,Brass 1
Ensemble Brass,380,Brass 2
Ensemble Brass,381,Brass 3
Ensemble Brass,382,Brass 4
Ensemble Brass,383,F.Horn Sect
Ensemble Brass,384,Brass 5
Ensemble Brass,385,Brass 6
Wind,386,Bassoon 1
Wind,387,Oboe
Wind,388,English Horn
Wind,389,Bassoon 2
Wind,390,Clarinet
Wind,391,Bagpipe
Wind,392,Shanai
Flute,393,Flute 1
Flute,394,Pan Flute 1
Flute,395,Pan Pipes 1
Flute,396,Shakuhachi 1
Flute,397,Pan Pipes 2
Flute,398,Piccolo
Flute,399,Flute 2
Flute,400,Pan Flute 2
Flute,401,Bottle Blow
Flute,402,Shakuhachi 2
Flute,403,Breath Noise
Flute,404,Fl.Key Click
Sax,405,Soprano Sax1
Sax,406,BreathyTenor
Sax,407,Tenor Sax 1
Sax,408,Soprano Sax2
Sax,409,Alto Sax
Sax,410,Tenor Sax 2
Sax,411,Baritone Sax
Recorder,412,Ocarina 1
Recorder,413,Recorder
Recorder,414,Whistle
Recorder,415,Ocarina 2
Vox/Choir,416,Dreamvox 1
Vox/Choir,417,Dreamvox 2
Vox/Choir,418,Choir Pad
Vox/Choir,419,Angels Choir
Vox/Choir,420,Aerial Choir
Vox/Choir,421,Doo Pad
Vox/Choir,422,Humming 1
Vox/Choir,423,Humming 2
Vox/Choir,424,Gospel Hum
Vox/Choir,425,Vox Pad 1
Vox/Choir,426,Vox Pad 2
Vox/Choir,427,80s Vox
Vox/Choir,428,SynVox 1
Vox/Choir,429,SynVox 2
Vox/Choir,430,Mini Vox
Vox/Choir,431,Chipmunk
Vox/Choir,432,Sample Opera
Vox/Choir,433,Sad Ceremony
Vox/Choir,434,5th Voice
Vox/Choir,435,Sop Vox
Vox/Choir,436,Choir Aahs
Vox/Choir,437,Chorus Aahs
Vox/Choir,438,Voice Oohs
Vox/Choir,439,Humming 3
Vox/Choir,440,SynVox 3
Vox/Choir,441,Analog Voice
Vox/Choir,442,Space Voice
Vox/Choir,443,Itopia
Scat,444,Jazz Scat 1
Scat,445,Jazz Scat 2
Synth Lead,446,Saw Lead 1
Synth Lead,447,Saw Lead 2
Synth Lead,448,Saw Lead 3
Synth Lead,449,Saw Lead 4
Synth Lead,450,Saw Lead 5
Synth Lead,451,Saw Lead 6
Synth Lead,452,Saw Lead 7
Synth Lead,453,Saw Lead 8
Synth Lead,454,Saw Lead 9
Synth Lead,455,GR300 Lead 1
Synth Lead,456,GR300 Lead 2
Synth Lead,457,Classic GR
Synth Lead,458,Bright GR
Synth Lead,459,Fat GR Lead
Synth Lead,460,MODified Ld
Synth Lead,461,Syn Lead 1
Synth Lead,462,Syn Lead 2
Synth Lead,463,Syn Lead 3
Synth Lead,464,Syn Lead 4
Synth Lead,465,Syn Lead 5
Synth Lead,466,Syn Lead 6
Synth Lead,467,Syn Lead 7
Synth Lead,468,Pro Fat Ld 1
Synth Lead,469,JupiterLead1
Synth Lead,470,JupiterLead2
Synth Lead,471,Porta Lead
Synth Lead,472,Classic Lead
Synth Lead,473,On Air
Synth Lead,474,Pro Fat Ld 2
Synth Lead,475,Wormy Lead
Synth Lead,476,Waspy Lead
Synth Lead,477,Brite ResoLd
Synth Lead,478,Brass Lead
Synth Lead,479,Legato Tkno
Synth Lead,480,Follow Me
Synth Lead,481,Octa Juice
Synth Lead,482,Juicy Jupe
Synth Lead,483,Octa Saw
Synth Lead,484,Vintager 1
Synth Lead,485,Vintager 2
Synth Lead,486,Sync Lead
Synth Lead,487,Octa Sync
Synth Lead,488,Leading Sync
Synth Lead,489,A Leader
Synth Lead,490,Hot Coffee
Synth Lead,491,Hot Sync
Synth Lead,492,Synchro Lead
Synth Lead,493,Space Solo
Synth Lead,494,Squareheads
Synth Lead,495,Mod Lead
Synth Lead,496,Alpha Spit
Synth Lead,497,Air Lead
Synth Lead,498,Pulstar Lead
Synth Lead,499,Therasaw
Synth Lead,500,Warmy Lead
Synth Lead,501,ResoSawLead
Synth Lead,502,Soft Reso Ld
Synth Lead,503,Reso Lead 1
Synth Lead,504,Reso Lead 2
Synth Lead,505,Reso Lead 3
Synth Lead,506,Reso Lead 4
Synth Lead,507,Reso Lead 5
Synth Lead,508,Juicy Lead
Synth Lead,509,DC Triangle
Synth Lead,510,Soft Lead 1
Synth Lead,511,Soft Lead 2
Synth Lead,512,Soft Lead 3
Synth Lead,513,Soft Lead 4
Synth Lead,514,Soft Lead 5
Synth Lead,515,Soft Lead 6
Synth Lead,516,Soft Lead 7
Synth Lead,517,Soft Lead 8
Synth Lead,518,Soft Lead 9
Synth Lead,519,Soft Lead 10
Synth Lead,520,Tri Lead
Synth Lead,521,Pulse Lead 1
Synth Lead,522,Pulse Lead 2
Synth Lead,523,Simple Tri
Synth Lead,524,Simple Sine
Synth Lead,525,Whistle Ld 1
Synth Lead,526,Whistle Ld 2
Synth Lead,527,Square Pipe
Synth Lead,528,CosmicDrops1
Synth Lead,529,Spooky Lead
Synth Lead,530,Pure Lead
Synth Lead,531,303 NRG
Synth Lead,532,Round SQR
Synth Lead,533,Brite SQR
Synth Lead,534,Square SAW
Synth Lead,535,Simple SQR
Synth Lead,536,Sqr Lead
Synth Lead,537,Atk Lead
Synth Lead,538,Octa Square
Synth Lead,539,CS Lead
Synth Lead,540,Mini Growl
Synth Lead,541,Hoover Again
Synth Lead,542,Tranceformer
Synth Lead,543,Juno SQR
Synth Lead,544,Pulse Lead 3
Synth Lead,545,Pulse Lead 4
Synth Lead,546,Ramp Lead 1
Synth Lead,547,Ramp Lead 2
Synth Lead,548,Saw Lead 10
Synth Lead,549,Sine Lead 1
Synth Lead,550,Sine Lead 2
Synth Lead,551,Dance Saws1
Synth Lead,552,Resoform
Synth Lead,553,Dance Saws 2
Synth Lead,554,Square Wave
Synth Lead,555,MG Square
Synth Lead,556,2600 Sine
Synth Lead,557,Saw Wave
Synth Lead,558,OB2 Saw
Synth Lead,559,Doctor Solo
Synth Lead,560,Natural Lead
Synth Lead,561,Syn.Calliope
Synth Lead,562,Chiffer Lead
Synth Lead,563,Charang
Synth Lead,564,Wire Lead
Synth Lead,565,Solo Vox
Synth Lead,566,5th Saw Wave
Synth Lead,567,Bass & Lead
Synth Lead,568,Delayed Lead
Synth Brass,569,80s Brass 1
Synth Brass,570,80s Brass 2
Synth Brass,571,80s Brass 3
Synth Brass,572,80s Brass 4
Synth Brass,573,80s Brass 5
Synth Brass,574,80s Brass 6
Synth Brass,575,80s Brass 7
Synth Brass,576,80s Brass 8
Synth Brass,577,Soft SynBrs1
Synth Brass,578,Warm SynBrs
Synth Brass,579,Brite SynBrs
Synth Brass,580,Express Brs
Synth Brass,581,EuroExpress1
Synth Brass,582,JP Brass 1
Synth Brass,583,Juno Brass
Synth Brass,584,Ox Brass
Synth Brass,585,Reso Brass
Synth Brass,586,Wide SynBrs
Synth Brass,587,Soft SynBrs2
Synth Brass,588,JP Brass 2
Synth Brass,589,106 Brass
Synth Brass,590,Octa Brass
Synth Brass,591,Poly Brass 1
Synth Brass,592,Dual Saw Brs
Synth Brass,593,Jump Poly
Synth Brass,594,Reso Key 1
Synth Brass,595,EuroExpress2
Synth Brass,596,Ox Synth
Synth Brass,597,VintageBrs 1
Synth Brass,598,VintageBrs 2
Synth Brass,599,VintageBrs 3
Synth Brass,600,VintageBrs 4
Synth Brass,601,Poly Brass 2
Synth Brass,602,Synth Brass1
Synth Brass,603,JP Brass
Synth Brass,604,Oct SynBrass
Synth Brass,605,Jump Brass
Synth Brass,606,Synth Brass2
Synth Brass,607,SynBrass sfz
Synth Brass,608,Velo Brass
Synth Pad/Strings,609,Heaven Pad 1
Synth Pad/Strings,610,Heaven Pad 2
Synth Pad/Strings,611,Dreamheaven
Synth Pad/Strings,612,Oct Heaven
Synth Pad/Strings,613,Soft Pad 1
Synth Pad/Strings,614,Soft Pad 2
Synth Pad/Strings,615,Soft Pad 3
Synth Pad/Strings,616,Soft Pad 4
Synth Pad/Strings,617,Soft Pad 5
Synth Pad/Strings,618,Soft Pad 6
Synth Pad/Strings,619,Soft Pad 7
Synth Pad/Strings,620,Soft Pad 8
Synth Pad/Strings,621,Soft Pad 9
Synth Pad/Strings,622,Soft Pad 10
Synth Pad/Strings,623,VintageStr 1
Synth Pad/Strings,624,VintageStr 2
Synth Pad/Strings,625,VintageStr 3
Synth Pad/Strings,626,VintageStr 4
Synth Pad/Strings,627,VintageStr 5
Synth Pad/Strings,628,VintageStr 6
Synth Pad/Strings,629,VintageStr 7
Synth Pad/Strings,630,JX Strings
Synth Pad/Strings,631,JP Strings 1
Synth Pad/Strings,632,JP Strings 2
Synth Pad/Strings,633,106 Strings
Synth Pad/Strings,634,PWM Str 1
Synth Pad/Strings,635,PWM Str 2
Synth Pad/Strings,636,Fading Str
Synth Pad/Strings,637,ParadisePad
Synth Pad/Strings,638,80s Strings
Synth Pad/Strings,639,Stringship
Synth Pad/Strings,640,Airy Pad
Synth Pad/Strings,641,Neo RS-202
Synth Pad/Strings,642,Sawtooth Str
Synth Pad/Strings,643,Pulse Pad
Synth Pad/Strings,644,Hollow Pad 1
Synth Pad/Strings,645,WarmHeaven 1
Synth Pad/Strings,646,WarmHeaven 2
Synth Pad/Strings,647,Heaven Pad 3
Synth Pad/Strings,648,Heaven Pad 4
Synth Pad/Strings,649,FineWinePad1
Synth Pad/Strings,650,FineWinePad2
Synth Pad/Strings,651,5th Pad 1
Synth Pad/Strings,652,5th Pad 2
Synth Pad/Strings,653,Nu Epic Pad
Synth Pad/Strings,654,Angelis Pad
Synth Pad/Strings,655,TrnsSweepPad
Synth Pad/Strings,656,Giant Sweep
Synth Pad/Strings,657,Voyager
Synth Pad/Strings,658,Digital Pad
Synth Pad/Strings,659,NuSoundtrack
Synth Pad/Strings,660,Xadecimal
Synth Pad/Strings,661,Strobe Pad
Synth Pad/Strings,662,BUBBLE 2
Synth Pad/Strings,663,BUBBLE 3
Synth Pad/Strings,664,Soft PWM Pad
Synth Pad/Strings,665,Org Pad
Synth Pad/Strings,666,Hollow Pad 2
Synth Pad/Strings,667,SavannaPad 1
Synth Pad/Strings,668,SavannaPad 2
Synth Pad/Strings,669,SavannaPad 3
Synth Pad/Strings,670,PWM Str 3
Synth Pad/Strings,671,PWM Pad 2
Synth Pad/Strings,672,Str Machine
Synth Pad/Strings,673,Reso Pad
Synth Pad/Strings,674,BPF Pad
Synth Pad/Strings,675,Sweep Pad 2
Synth Pad/Strings,676,Sweep Pad 3
Synth Pad/Strings,677,Sweep Pad 4
Synth Pad/Strings,678,Scoop Pad 1
Synth Pad/Strings,679,Scoop Pad 2
Synth Pad/Strings,680,Brite Wine
Synth Pad/Strings,681,Wine Pad
Synth Pad/Strings,682,Syn.Strings1
Synth Pad/Strings,683,Syn.Strings3
Synth Pad/Strings,684,Syn.Strings2
Synth Pad/Strings,685,Warm Pad
Synth Pad/Strings,686,Sine Pad
Synth Pad/Strings,687,Bowed Glass
Synth Pad/Strings,688,Metal Pad
Synth Pad/Strings,689,Halo Pad
Synth Pad/Strings,690,Sweep Pad
Synth Pad/Strings,691,Soundtrack
Synth Pad/Strings,692,Star Theme
Synth Bellpad,693,D50 Fantasy
Synth Bellpad,694,D50 Bell
Synth Bellpad,695,Dreambell
Synth Bellpad,696,Dreaming Box
Synth Bellpad,697,Air Key 1
Synth Bellpad,698,Sweet Keys
Synth Bellpad,699,Soft Bell
Synth Bellpad,700,Air Key 2
Synth Bellpad,701,Stacc Heaven
Synth Bellpad,702,DigitalDream
Synth Bellpad,703,Analog Dream
Synth Bellpad,704,Harp Pad
Synth Bellpad,705,Org Bell
Synth Bellpad,706,Fantasia
Synth Bellpad,707,Ice Rain
Synth Bellpad,708,Atmosphere
Synth Bellpad,709,Brightness
Synth PolyKey,710,Dream Trance
Synth PolyKey,711,Dream Saws
Synth PolyKey,712,Dream Pulse
Synth PolyKey,713,Trance Synth
Synth PolyKey,714,Trancy
Synth PolyKey,715,Trance Keys
Synth PolyKey,716,Trance Saws
Synth PolyKey,717,Auto Trance1
Synth PolyKey,718,Super Saws 1
Synth PolyKey,719,Analog Saws
Synth PolyKey,720,Uni-G
Synth PolyKey,721,Digitaless
Synth PolyKey,722,Bustranza
Synth PolyKey,723,Super Saws 2
Synth PolyKey,724,Poly Synth 1
Synth PolyKey,725,Poly Synth 2
Synth PolyKey,726,Poly Synth 3
Synth PolyKey,727,Poly Synth 4
Synth PolyKey,728,Poly Synth 5
Synth PolyKey,729,Poly Synth 6
Synth PolyKey,730,Juno Saw Key
Synth PolyKey,731,Saw Key 1
Synth PolyKey,732,Saw Key 2
Synth PolyKey,733,Waspy Synth
Synth PolyKey,734,Vintage Key
Synth PolyKey,735,Ju-D Fifths
Synth PolyKey,736,Reso Key 2
Synth PolyKey,737,Fat Synth
Synth PolyKey,738,DOC Stack
Synth PolyKey,739,2 Saws
Synth PolyKey,740,Hi Saw Band
Synth PolyKey,741,Brite Synth
Synth PolyKey,742,PWM Pad 1
Synth PolyKey,743,RAVtune
Synth PolyKey,744,Heaven Key
Synth PolyKey,745,Pipe Key
Synth PolyKey,746,Shroomy
Synth PolyKey,747,AnalogDays 1
Synth PolyKey,748,Sync Key
Synth PolyKey,749,Detune Ramp
Synth PolyKey,750,Reso Saw
Synth PolyKey,751,EuroExpress3
Synth PolyKey,752,Sweep Saw
Synth PolyKey,753,Poly Synth 7
Synth PolyKey,754,Syn Mallet
Synth FX,755,Enigmatic
Synth FX,756,Planetz
Synth FX,757,Shimmer Pad
Synth FX,758,Sci-Fi
Synth FX,759,ResoSweep Dn
Synth FX,760,Jet Noise
Synth FX,761,Brandish
Synth FX,762,909 Fx
Synth FX,763,Zap
Synth FX,764,PolySweep Nz
Synth FX,765,Passing By
Synth FX,766,Lazer Points
Synth FX,767,CosmicDrops2
Synth FX,768,Crystal Fx
Synth FX,769,Crystal Ice
Synth FX,770,Mad Noise
Synth FX,771,Robot Sci-Fi
Synth FX,772,Computer 1
Synth FX,773,Computer 2
Synth FX,774,S&H Noise
Synth FX,775,S&H Ramp
Synth FX,776,S&H PWM
Synth FX,777,S&H Saw 1
Synth FX,778,S&H Saw 2
Synth FX,779,Electrostar
Synth FX,780,Alpha Said
Synth FX,781,FX Ramp
Synth FX,782,BUBBLE 1
Synth FX,783,Goblin
Synth FX,784,Echo Drops
Synth FX,785,Echo Bell
Synth Seq/Pop,786,Analog Seq
Synth Seq/Pop,787,Seq Pop
Synth Seq/Pop,788,Periscope
Synth Seq/Pop,789,Major 7
Synth Seq/Pop,790,Juno-D Maj7
Synth Seq/Pop,791,Sweet House
Synth Seq/Pop,792,Detune Saws
Synth Seq/Pop,793,Melodic Drum
Synth Seq/Pop,794,Detune Seq
Synth Seq/Pop,795,SequencedSaw
Synth Seq/Pop,796,Echo Pan
Pulsating,797,PanninFormnt
Pulsating,798,Fairy's Song
Pulsating,799,Atmospherics
Pulsating,800,StrobeBell 1
Pulsating,801,StrobeBell 2
Pulsating,802,Flying Pad 1
